,price,milage,year,make,model,url,dealer
0,"[$36,857]","72,578 km",2023 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2023-toyota-rav4-le-id14005837.htm,https://www.salmonarmtoyota.com
1,"[$35,887]","66,041 km",2022 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2022-toyota-rav4-le-id14041071.htm,https://www.salmonarmtoyota.com
2,"[$33,877]","69,021 km",2021 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2021-toyota-rav4-le-id14005835.htm,https://www.salmonarmtoyota.com
3,"[$39,580]",None,2025 ,Toyota ,RAV4 XLE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-xle-id14122315.htm,https://www.peacecountrytoyota.ca
4,"[$41,622]",None,2025 ,Toyota ,RAV4 XLE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-xle-id14128499.htm,https://www.peacecountrytoyota.ca
5,"[$35,840]",None,2025 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-le-id14128504.htm,https://www.peacecountrytoyota.ca
6,"[$44,227]",None,2025 ,Toyota ,RAV4 Hybrid XLE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-hybrid-xle-id14128497.htm,https://www.peacecountrytoyota.ca
7,"[$50,065]",None,2025 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-hybrid-limited-id14128498.htm,https://www.peacecountrytoyota.ca
8,"[$49,810]",None,2025 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-hybrid-limited-id14132152.htm,https://www.peacecountrytoyota.ca
9,"[$38,444]","46,427 km",2020 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/used/vehicle/2020-toyota-rav4-hybrid-limited-id13926822.htm,https://www.peacecountrytoyota.ca
