,price,milage,year,make,model,url,dealer,vin
0,"[$35,887]","66,041 km",2022 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2022-toyota-rav4-le-id14041071.htm,https://www.salmonarmtoyota.com,
1,"[$33,877]","69,021 km",2021 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2021-toyota-rav4-le-id14005835.htm,https://www.salmonarmtoyota.com,
2,[],N/A,2021 ,Toyota ,RAV4 XLE 4dr All-Wheel Drive,/used/vehicle/2021-toyota-rav4-xle-id14147136.htm,https://www.salmonarmtoyota.com,
3,"[$39,580]",None,2025 ,Toyota ,RAV4 XLE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-xle-id14122315.htm,https://www.peacecountrytoyota.ca,
4,"[$41,622]",None,2025 ,Toyota ,RAV4 XLE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-xle-id14128499.htm,https://www.peacecountrytoyota.ca,
5,"[$35,840]",None,2025 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-le-id14128504.htm,https://www.peacecountrytoyota.ca,
6,"[$50,065]",None,2025 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-hybrid-limited-id14128498.htm,https://www.peacecountrytoyota.ca,
7,"[$49,810]",None,2025 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-hybrid-limited-id14132152.htm,https://www.peacecountrytoyota.ca,
8,"[$38,444]","46,427 km",2020 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/used/vehicle/2020-toyota-rav4-hybrid-limited-id13926822.htm,https://www.peacecountrytoyota.ca,
9,"35,499","71,642 KM",2019,Toyota,RAV4,/used/2019-Toyota-RAV4-id12095945.html,https://www.sargenttoyota.ca,2T3J1RFV3KC008022
10,"45,510",11 KM,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12084235.html,https://www.sargenttoyota.ca,2T3RWRFV7SW279359
11,Call for pricing,6 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12140965.html,https://www.sargenttoyota.ca,2T3R1RFV9SW532048
12,Call for pricing,10 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12146329.html,https://www.sargenttoyota.ca,2T3R1RFVXSW529790
13,Call for pricing,1 KM,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12146331.html,https://www.sargenttoyota.ca,2T3RWRFV5SW283846
14,Call for pricing,5 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12157746.html,https://www.sargenttoyota.ca,2T3R1RFV9SC525005
15,Call for pricing,10 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12157748.html,https://www.sargenttoyota.ca,2T3R1RFV9SC525506
16,Call for pricing,6 KM,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12161733.html,https://www.sargenttoyota.ca,2T34WRFV6SW283381
17,Call for pricing,7 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12161734.html,https://www.sargenttoyota.ca,2T3R1RFV7SW533103
18,Call for pricing,5 KM,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12161735.html,https://www.sargenttoyota.ca,2T34WRFV1SW280940
19,Call for pricing,None,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12168539.html,https://www.sargenttoyota.ca,2T3BWRFV2SW284129
20,Call for pricing,6 KM,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12168541.html,https://www.sargenttoyota.ca,2T3RWRFV8SW282853
21,"41,535",None,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12159768.html,https://www.terracetoyota.ca,2T3R1RFV8SW533370
